Frames,TOTAL
1,-17.57
3,-27.17
5,-24.03
7,-28.23
9,-22.97
11,-22.73
13,-22.76
15,-23.17
17,-19.63
19,-20.49
21,-17.2
23,-17.16
25,-23.93
27,-21.85
29,-16.31
31,-21.37
33,-24.95
35,-24.43
37,-27.2
39,-23.75
41,-27.24
43,-22.74
45,-24.54
47,-23.48
49,-27.03
51,-27.74
53,-20.33
55,-24.6
57,-27.57
59,-25.58
61,-28.83
63,-26.83
65,-21.34
67,-21.94
69,-24.71
71,-13.2
73,-15.88
75,-16.63
77,-15.58
79,-21.09
81,-12.31
83,-17.11
85,-11.45
87,-11.24
89,-20.87
91,-15.01
93,-15.46
95,-21.68
97,-21.72
99,-23.06
101,-23.2
103,-19.71
105,-21.06
107,-24.95
109,-11.06
111,-21.46
113,-23.62
115,-14.74
117,-17.23
119,-14.64
121,-17.04
123,-23.03
125,-14.83
127,-17.54
129,-24.04
131,-23.39
133,-15.94
135,-15.99
137,-15.3
139,-17.54
141,-25.81
143,-19.74
145,-17.1
147,-16.59
149,-19.82
151,-19.08
153,-12.66
155,-24.67
157,-19.14
159,-15.65
161,-21.68
163,-17.99
165,-20.49
167,-11.72
169,-14.01
171,-10.28
173,-18.5
175,-9.59
177,-17.95
179,-18.54
181,-18.43
183,-18.17
185,-14.37
187,-20.41
189,-17.91
191,-20.84
193,-23.08
195,-19.56
197,-20.39
199,-14.85
201,-22.23
203,-17.77
205,-19.12
207,-20.56
209,-21.43
211,-14.62
213,-14.96
215,-17.07
217,-20.85
219,-22.96
221,-21.3
223,-14.48
225,-22.6
227,-26.22
229,-25.29
231,-19.99
233,-17.05
235,-21.29
237,-20.86
239,-27.48
241,-21.2
243,-24.46
245,-16.24
247,-23.32
249,-24.54
251,-20.42
253,-15.36
255,-18.89
257,-19.98
259,-20.51
261,-21.41
263,-23.53
265,-18.42
267,-19.7
269,-17.42
271,-20.58
273,-17.13
275,-18.15
277,-23.86
279,-14.21
281,-21.53
283,-18.42
285,-14.68
287,-20.57
289,-24.06
291,-18.03
293,-17.07
295,-16.65
297,-19.95
299,-19.01
301,-17.49
303,-23.69
305,-20.08
307,-25.73
309,-11.53
311,-14.28
313,-21.36
315,-21.03
317,-19.35
319,-18.15
321,-20.2
323,-22.3
325,-19.89
327,-22.83
329,-17.66
331,-18.39
333,-18.4
335,-14.76
337,-22.58
339,-23.82
341,-20.12
343,-17.13
345,-24.29
347,-22.32
349,-17.61
351,-20.67
353,-23.61
355,-19.02
357,-22.24
359,-26.11
361,-20.84
363,-22.02
365,-18.46
367,-18.46
369,-15.1
371,-19.69
373,-9.64
375,-24.88
377,-17.15
379,-17.81
381,-24.38
383,-23.77
385,-18.88
387,-19.5
389,-18.1
391,-21.02
393,-16.28
395,-20.1
397,-16.33
399,-18.58
401,-13.71
403,-13.44
405,-16.44
407,-16.48
409,-17.77
411,-16.99
413,-15.6
415,-24.52
417,-20.77
419,-21.34
421,-19.97
423,-21.34
425,-17.89
427,-22.17
429,-17.62
431,-19.26
433,-19.39
435,-18.69
437,-15.62
439,-20.52
441,-17.18
443,-15.64
445,-19.85
447,-17.35
449,-16.53
451,-14.9
453,-20.54
455,-16.51
457,-20.24
459,-16.13
461,-18.73
463,-17.78
465,-18.92
467,-20.03
469,-23.56
471,-24.52
473,-22.6
475,-25.2
477,-15.95
479,-16.58
481,-15.61
483,-15.82
485,-24.08
487,-22.66
489,-21.11
491,-23.88
493,-17.17
495,-16.22
497,-22.65
499,-18.58
501,-25.02
503,-24.11
505,-22.48
507,-22.15
509,-23.86
511,-13.1
513,-18.36
515,-17.8
517,-14.64
519,-16.09
521,-23.58
523,-24.8
525,-24.58
527,-18.21
529,-18.46
531,-19.06
533,-12.55
535,-19.46
537,-10.28
539,-13.6
541,-16.05
543,-18.86
545,-23.46
547,-17.55
549,-15.35
551,-15.58
553,-15.62
555,-17.79
557,-16.75
559,-17.56
561,-18.07
563,-21.36
565,-17.29
567,-20.8
569,-16.96
571,-14.74
573,-23.47
575,-25.49
577,-21.79
579,-20.24
581,-22.61
583,-19.55
585,-15.78
587,-15.09
589,-18.97
591,-19.28
593,-16.7
595,-18.56
597,-11.57
599,-22.25
601,-10.37
603,-16.81
605,-22.98
607,-19.46
609,-18.71
611,-11.04
613,-11.34
615,-14.61
617,-23.22
619,-18.11
621,-16.12
623,-24.62
625,-14.12
627,-16.5
629,-11.89
631,-11.85
633,-12.59
635,-12.81
637,-15.5
639,-15.9
641,-15.43
643,-18.62
645,-21.5
647,-12.58
649,-19.6
651,-17.53
653,-17.74
655,-17.8
657,-17.14
659,-16.53
661,-15.81
663,-10.3
665,-14.58
667,-16.37
669,-17.57
671,-16.73
673,-13.51
675,-19.2
677,-16.37
679,-14.07
681,-15
683,-12.85
685,-14.29
687,-24.92
689,-16.94
691,-18.11
693,-15.28
695,-17.32
697,-15.29
699,-16.28
701,-17.12
703,-19.71
705,-21.37
707,-17.75
709,-17.59
711,-23.04
713,-12.28
715,-18.23
717,-16.92
719,-16.85
721,-15.22
723,-15.2
725,-17.66
727,-21.97
729,-21.82
731,-20.02
733,-17.91
735,-15.1
737,-20.8
739,-17.38
741,-19.68
743,-21.68
745,-19.87
747,-20.4
749,-13.44
751,-21.47
753,-24.41
755,-27.37
757,-20.48
759,-20.55
761,-19.25
763,-14.68
765,-15.43
767,-22.03
769,-17.96
771,-14.33
773,-13.19
775,-18.26
777,-23.04
779,-11.93
781,-12.31
783,-19.78
785,-12.19
787,-19.63
789,-18.11
791,-17.33
793,-22.93
795,-21.78
797,-18.48
799,-13.16
801,-17.55
803,-14.15
805,-12.14
807,-13.33
809,-14.6
811,-19.86
813,-19.3
815,-18.74
817,-19.51
819,-21
821,-11.89
823,-20.71
825,-21.99
827,-18.32
829,-11.52
831,-16.59
833,-11.99
835,-17.9
837,-18.91
839,-16.77
841,-10.83
843,-18.51
845,-22.01
847,-16.76
849,-13.73
851,-16.34
853,-15.97
855,-14.62
857,-12.77
859,-11.48
861,-13.59
863,-12.82
865,-17.21
867,-14.01
869,-14.32
871,-5.64
873,-9.98
875,-7.85
877,-6.77
879,-5.46
881,-8.58
883,-12.17
885,-8.66
887,-9.05
889,-6.93
891,-8.17
893,-5.72
895,-5.97
897,-5.2
899,-10.93
901,-10.31
903,-8.75
905,-9.34
907,-12.32
909,-22.3
911,-10.06
913,-8.76
915,-9.3
917,-10.53
919,-10.01
921,-11.29
923,-10.45
925,-9.8
927,-10.6
929,-10.01
931,-10.04
933,-10.29
935,-8.95
937,-6.36
939,-9.64
941,-10.63
943,-10.86
945,-9.23
947,-6.16
949,-9.16
951,-5.67
953,-5.44
955,-10.58
957,-9.84
959,-8.61
961,-6.42
963,-9.18
965,-6.57
967,-6.32
969,-5.5
971,-10.46
973,-9.13
975,-8.77
977,-6.01
979,-9.48
981,-5.94
983,-5.13
985,-6.19
987,-9.89
989,-10.6
991,-9.5
993,-8.98
995,-5.74
997,-9.31
999,-9.39
1001,-8.6
